Terminal: [6]
 Agents at terminal: 32
Agent ID; Capacity; starttime; endtime; start loc; end loc
6;4;225;2090;402;402
8;4;225;2090;402;402
9;4;225;2090;402;402
10;4;225;2090;402;402
14;4;225;2090;402;402
15;4;225;2090;402;402
21;4;225;2090;402;402
22;4;225;2090;402;402
32;4;225;2090;402;402
37;4;225;2090;402;402
44;4;225;2090;402;402
45;4;225;2090;402;402
46;4;225;2090;402;402
52;4;225;2090;402;402
64;4;225;2090;402;402
65;4;225;2090;402;402
69;4;225;2090;402;402
80;4;225;2090;402;402
82;4;225;2090;402;402
83;4;225;2090;402;402
84;4;225;2090;402;402
87;4;225;2090;402;402
100;4;225;2090;402;402
101;4;225;2090;402;402
115;4;225;2090;402;402
116;4;225;2090;402;402
122;4;225;2090;402;402
131;4;225;2090;402;402
139;4;225;2090;402;402
141;4;225;2090;402;402
146;4;225;2090;402;402
147;4;225;2090;402;402
Terminal: [1]
 Agents at terminal: 1
Agent ID; Capacity; starttime; endtime; start loc; end loc
-37;4;225;2090;403;403
Terminal: [2]
 Agents at terminal: 7
Agent ID; Capacity; starttime; endtime; start loc; end loc
-36;4;225;2090;394;394
-35;4;225;2090;394;394
-34;4;225;2090;394;394
-33;4;225;2090;394;394
-32;4;225;2090;394;394
-31;4;225;2090;394;394
-30;4;225;2090;394;394
Terminal: [5]
 Agents at terminal: 1
Agent ID; Capacity; starttime; endtime; start loc; end loc
-29;4;225;2090;395;395
Terminal: [7]
 Agents at terminal: 23
Agent ID; Capacity; starttime; endtime; start loc; end loc
-28;4;225;2090;396;396
-27;4;225;2090;396;396
-26;4;225;2090;396;396
-25;4;225;2090;396;396
-24;4;225;2090;396;396
-23;4;225;2090;396;396
-22;4;225;2090;396;396
-21;4;225;2090;396;396
-20;4;225;2090;396;396
-19;4;225;2090;396;396
-18;4;225;2090;396;396
-17;4;225;2090;396;396
-16;4;225;2090;396;396
-15;4;225;2090;396;396
-14;4;225;2090;396;396
-13;4;225;2090;396;396
-12;4;225;2090;396;396
-11;4;225;2090;396;396
-10;4;225;2090;396;396
-9;4;225;2090;396;396
-8;4;225;2090;396;396
-7;4;225;2090;396;396
-6;4;225;2090;396;396
Terminal: [8]
 Agents at terminal: 7
Agent ID; Capacity; starttime; endtime; start loc; end loc
-5;4;225;2090;397;397
-4;4;225;2090;397;397
-3;4;225;2090;397;397
-2;4;225;2090;397;397
-1;4;225;2090;397;397
38;4;225;2090;397;397
30;4;225;2090;397;397
Terminal: [9]
 Agents at terminal: 27
Agent ID; Capacity; starttime; endtime; start loc; end loc
1;4;225;2090;398;398
2;4;225;2090;398;398
3;4;225;2090;398;398
11;4;225;2090;398;398
13;4;225;2090;398;398
16;4;225;2090;398;398
31;4;225;2090;398;398
34;4;225;2090;398;398
40;4;225;2090;398;398
41;4;225;2090;398;398
43;4;225;2090;398;398
47;4;225;2090;398;398
48;4;225;2090;398;398
51;4;225;2090;398;398
53;4;225;2090;398;398
68;4;225;2090;398;398
70;4;225;2090;398;398
78;4;225;2090;398;398
79;4;225;2090;398;398
81;4;225;2090;398;398
90;4;225;2090;398;398
102;4;225;2090;398;398
112;4;225;2090;398;398
141;4;225;2090;398;398
143;4;225;2090;398;398
144;4;225;2090;398;398
145;4;225;2090;398;398
Terminal: [3]
 Agents at terminal: 34
Agent ID; Capacity; starttime; endtime; start loc; end loc
4;4;225;2090;399;399
7;4;225;2090;399;399
19;4;225;2090;399;399
39;4;225;2090;399;399
42;4;225;2090;399;399
57;4;225;2090;399;399
58;4;225;2090;399;399
62;4;225;2090;399;399
75;4;225;2090;399;399
76;4;225;2090;399;399
77;4;225;2090;399;399
85;4;225;2090;399;399
86;4;225;2090;399;399
89;4;225;2090;399;399
92;4;225;2090;399;399
93;4;225;2090;399;399
95;4;225;2090;399;399
103;4;225;2090;399;399
104;4;225;2090;399;399
105;4;225;2090;399;399
107;4;225;2090;399;399
108;4;225;2090;399;399
111;4;225;2090;399;399
113;4;225;2090;399;399
114;4;225;2090;399;399
119;4;225;2090;399;399
120;4;225;2090;399;399
121;4;225;2090;399;399
129;4;225;2090;399;399
